date,time,place,item,type,recyclability,sorted_status
2024-03-05,11:40,lobby,paper,Paper,Recyclable,Unsorted
2024-01-30,15:21,par14,paper,Paper,Recyclable,Sorted
2024-02-28,12:51,par6,coffee cup,Paper,Recyclable,Unsorted
2024-03-18,13:01,par14,wrapper,Plastic,non-recyclable,Sorted
2024-05-24,11:32,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-20,09:51,par6,paper,Paper,Recyclable,Unsorted
2024-01-02,11:25,par14,paper,Paper,Recyclable,Unsorted
2024-02-27,12:24,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-01-29,12:42,par13,paper cup,Paper,Recyclable,Unsorted
2024-01-01,12:08,par6,clear water bottle,Plastic,Recyclable,Sorted
2024-03-05,11:45,par14,paper,Paper,Recyclable,Sorted
2024-01-16,11:06,par14,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-27,11:03,par14,coffee cup,Paper,Recyclable,Sorted
2024-03-22,15:33,lobby,banana peel,Organic,bio-degradable,Unsorted
2024-05-21,12:28,par13,carton,Paper,Recyclable,Unsorted
2024-01-15,13:45,par13,wrapper,Plastic,non-recyclable,Unsorted
2024-03-21,12:16,lobby,clear water bottle,Plastic,Recyclable,Unsorted
2024-02-08,12:12,par14,paper,Paper,Recyclable,Unsorted
2024-05-20,13:55,lobby,plastic film,Plastic,non-recyclable,Sorted
2024-02-13,13:00,par6,clear water bottle,Plastic,Recyclable,Sorted
2024-02-13,12:12,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-27,12:47,par6,glass bottle,Glass,Recyclable,Sorted
2024-04-12,12:02,par13,paper cup,Paper,Recyclable,Unsorted
2024-05-27,11:48,lobby,drink can,Metal,Recyclable,Unsorted
2024-02-01,12:25,par13,plastic film,Plastic,non-recyclable,Unsorted
2024-04-23,11:45,lobby,paper cup,Paper,Recyclable,Sorted
2024-02-29,11:44,par13,paper cup,Paper,Recyclable,Sorted
2024-01-19,18:04,vending machine,banana peel,Organic,bio-degradable,Unsorted
2024-04-03,12:48,par13,paper cup,Paper,Recyclable,Unsorted
2024-04-18,12:55,par13,paper cup,Paper,Recyclable,Unsorted
2024-04-08,11:02,lobby,carton,Paper,Recyclable,Unsorted
2024-01-15,09:58,par6,paper cup,Paper,Recyclable,Unsorted
2024-05-30,13:15,lobby,glass bottle,Glass,Recyclable,Unsorted
2024-01-10,16:08,par6,coffee cup,Paper,Recyclable,Sorted
2024-01-03,11:49,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-07,12:08,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-07,14:10,lobby,cardboard,Paper,Recyclable,Unsorted
2024-01-29,13:50,par14,wrapper,Plastic,non-recyclable,Sorted
2024-03-20,12:19,lobby,clear water bottle,Plastic,Recyclable,Sorted
2024-02-23,12:13,par6,coffee cup,Paper,Recyclable,Unsorted
2024-05-21,12:14,par14,glass bottle,Glass,Recyclable,Sorted
2024-04-18,18:41,lobby,paper,Paper,Recyclable,Unsorted
2024-02-20,12:33,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-29,11:45,par6,food,Organic,bio-degradable,Sorted
2024-01-05,15:37,par6,coffee cup,Paper,Recyclable,Unsorted
2024-06-03,12:21,par6,food,Organic,bio-degradable,Unsorted
2024-03-20,12:47,par6,food,Organic,bio-degradable,Unsorted
2024-06-12,10:37,par6,food,Organic,bio-degradable,Unsorted
2024-05-23,13:11,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-02-21,12:13,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-29,12:35,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-03-06,12:53,par6,cardboard,Paper,Recyclable,Sorted
2024-06-03,12:47,lobby,carton,Paper,Recyclable,Unsorted
2024-02-19,12:33,par6,coffee cup,Paper,Recyclable,Sorted
2024-03-19,12:01,par14,drink can,Metal,Recyclable,Unsorted
2024-02-23,12:23,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-06,13:00,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-03-22,11:56,par6,drink can,Metal,Recyclable,Unsorted
2024-06-14,11:41,par6,plastic film,Plastic,non-recyclable,Unsorted
2024-03-04,15:17,lobby,drink can,Metal,Recyclable,Sorted
2024-04-22,12:49,lobby,wrapper,Plastic,non-recyclable,Sorted
2024-01-25,13:44,par14,drink can,Metal,Recyclable,Unsorted
2024-05-27,13:38,par6,drink can,Metal,Recyclable,Sorted
2024-02-29,12:05,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-15,13:24,lobby,cardboard,Paper,Recyclable,Unsorted
2024-01-17,11:38,par6,drink can,Metal,Recyclable,Unsorted
2024-01-12,15:14,lobby,carton,Paper,Recyclable,Sorted
2024-06-10,11:52,lobby,coffee cup,Paper,Recyclable,Unsorted
2024-05-07,12:34,par14,paper,Paper,Recyclable,Unsorted
2024-01-29,12:16,lobby,cardboard,Paper,Recyclable,Unsorted
2024-01-30,12:19,par14,coffee cup,Paper,Recyclable,Sorted
2024-05-02,13:45,par6,paper cup,Paper,Recyclable,Sorted
2024-03-14,12:48,lobby,drink can,Metal,Recyclable,Sorted
2024-02-01,10:36,par14,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-18,15:24,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-09,12:46,lobby,wrapper,Plastic,non-recyclable,Unsorted
2024-04-10,12:23,lobby,cardboard,Paper,Recyclable,Sorted
2024-06-11,12:47,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-02-22,13:09,par6,food,Organic,bio-degradable,Unsorted
2024-06-10,14:00,par14,paper,Paper,Recyclable,Sorted
2024-02-01,12:39,par14,coffee cup,Paper,Recyclable,Unsorted
2024-04-29,12:41,par14,glass bottle,Glass,Recyclable,Sorted
2024-03-19,11:23,par14,wrapper,Plastic,non-recyclable,Unsorted
2024-01-23,17:50,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-05-23,12:51,par6,wrapper,Plastic,non-recyclable,Unsorted
2024-05-16,12:22,lobby,food,Organic,bio-degradable,Unsorted
2024-06-10,11:16,par14,drink can,Metal,Recyclable,Sorted
2024-06-05,12:58,par6,wrapper,Plastic,non-recyclable,Unsorted
2024-02-26,11:57,par13,food,Organic,bio-degradable,Unsorted
2024-01-05,13:23,par13,drink can,Metal,Recyclable,Unsorted
2024-01-30,12:16,lobby,plastic film,Plastic,non-recyclable,Unsorted
2024-05-24,10:10,par14,glass bottle,Glass,Recyclable,Unsorted
2024-06-13,13:09,par6,food,Organic,bio-degradable,Sorted
2024-01-02,18:20,par13,glass bottle,Glass,Recyclable,Sorted
2024-02-29,12:35,par6,paper cup,Paper,Recyclable,Unsorted
2024-05-08,12:34,lobby,coffee cup,Paper,Recyclable,Unsorted
2024-06-11,12:52,par6,clear water bottle,Plastic,Recyclable,Unsorted
2024-01-17,12:55,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-05-29,13:13,vending machine,paper,Paper,Recyclable,Unsorted
2024-03-01,15:44,par13,paper,Paper,Recyclable,Unsorted
2024-01-16,12:13,lobby,drink can,Metal,Recyclable,Sorted
2024-05-31,12:13,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-03-04,15:38,par6,clear water bottle,Plastic,Recyclable,Sorted
2024-02-13,14:20,par14,cardboard,Paper,Recyclable,Sorted
2024-02-05,10:26,vending machine,paper,Paper,Recyclable,Sorted
2024-05-29,13:10,lobby,plastic film,Plastic,non-recyclable,Unsorted
2024-03-21,13:30,par13,drink can,Metal,Recyclable,Unsorted
2024-06-13,12:30,par14,glass bottle,Glass,Recyclable,Sorted
2024-03-26,12:52,vending machine,plastic film,Plastic,non-recyclable,Unsorted
2024-02-14,11:23,par13,carton,Paper,Recyclable,Unsorted
2024-02-27,11:11,par14,cardboard,Paper,Recyclable,Unsorted
2024-01-23,10:45,par13,paper cup,Paper,Recyclable,Unsorted
2024-05-24,12:45,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-02-19,14:44,par6,clear water bottle,Plastic,Recyclable,Unsorted
2024-01-10,12:13,vending machine,plastic film,Plastic,non-recyclable,Unsorted
2024-01-26,12:23,lobby,carton,Paper,Recyclable,Sorted
2024-05-20,11:56,par6,plastic film,Plastic,non-recyclable,Sorted
2024-05-24,11:01,par13,paper cup,Paper,Recyclable,Unsorted
2024-03-27,12:18,par14,coffee cup,Paper,Recyclable,Unsorted
2024-02-22,13:24,par13,paper cup,Paper,Recyclable,Unsorted
2024-05-02,15:45,par13,food,Organic,bio-degradable,Unsorted
2024-02-26,15:40,par6,glass bottle,Glass,Recyclable,Unsorted
2024-06-14,15:48,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-01-15,13:35,vending machine,glass bottle,Glass,Recyclable,Sorted
2024-05-03,13:05,lobby,paper,Paper,Recyclable,Sorted
2024-01-17,12:26,par6,glass bottle,Glass,Recyclable,Sorted
2024-03-15,11:44,par13,paper cup,Paper,Recyclable,Sorted
2024-01-05,13:09,vending machine,banana peel,Organic,bio-degradable,Sorted
2024-01-04,12:16,par14,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-01,13:00,par14,wrapper,Plastic,non-recyclable,Sorted
2024-05-17,11:39,lobby,drink can,Metal,Recyclable,Sorted
2024-02-05,13:08,lobby,cardboard,Paper,Recyclable,Sorted
2024-02-19,13:14,par13,wrapper,Plastic,non-recyclable,Unsorted
2024-05-30,11:36,par6,coffee cup,Paper,Recyclable,Sorted
2024-05-16,13:12,par14,wrapper,Plastic,non-recyclable,Unsorted
2024-01-10,12:16,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-06-11,13:07,lobby,paper cup,Paper,Recyclable,Unsorted
2024-04-15,12:38,lobby,glass bottle,Glass,Recyclable,Unsorted
2024-04-29,11:25,par13,plastic film,Plastic,non-recyclable,Unsorted
2024-04-25,12:56,lobby,clear water bottle,Plastic,Recyclable,Unsorted
2024-02-08,13:24,vending machine,paper,Paper,Recyclable,Sorted
2024-03-28,12:59,par6,paper cup,Paper,Recyclable,Unsorted
2024-05-07,12:50,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-02-28,12:08,par14,paper,Paper,Recyclable,Sorted
2024-02-05,13:04,vending machine,cardboard,Paper,Recyclable,Sorted
2024-04-04,12:33,par14,coffee cup,Paper,Recyclable,Unsorted
2024-05-16,12:56,par6,paper cup,Paper,Recyclable,Sorted
2024-02-09,13:30,par13,paper cup,Paper,Recyclable,Unsorted
2024-06-03,15:28,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-24,18:32,vending machine,plastic film,Plastic,non-recyclable,Sorted
2024-05-14,15:47,par14,carton,Paper,Recyclable,Unsorted
2024-02-27,11:25,lobby,paper,Paper,Recyclable,Unsorted
2024-05-13,13:12,par14,drink can,Metal,Recyclable,Sorted
2024-02-09,16:09,par6,food,Organic,bio-degradable,Unsorted
2024-03-29,12:55,par6,cardboard,Paper,Recyclable,Sorted
2024-06-05,09:50,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-03-26,18:19,lobby,plastic film,Plastic,non-recyclable,Unsorted
2024-04-10,11:19,par6,cardboard,Paper,Recyclable,Unsorted
2024-05-02,11:56,lobby,paper cup,Paper,Recyclable,Sorted
2024-04-19,14:46,par13,cardboard,Paper,Recyclable,Unsorted
2024-03-04,12:59,vending machine,paper,Paper,Recyclable,Unsorted
2024-02-06,15:06,lobby,drink can,Metal,Recyclable,Sorted
2024-03-08,12:24,vending machine,paper,Paper,Recyclable,Sorted
2024-02-29,15:19,lobby,glass bottle,Glass,Recyclable,Unsorted
2024-02-14,12:29,lobby,wrapper,Plastic,non-recyclable,Unsorted
2024-02-06,10:51,par6,wrapper,Plastic,non-recyclable,Sorted
2024-04-22,12:56,par13,paper cup,Paper,Recyclable,Unsorted
2024-03-13,12:30,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-24,13:00,par14,wrapper,Plastic,non-recyclable,Unsorted
2024-03-11,15:00,par14,clear water bottle,Plastic,Recyclable,Sorted
2024-06-10,12:15,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-15,11:15,par13,glass bottle,Glass,Recyclable,Unsorted
2024-02-08,10:29,vending machine,plastic film,Plastic,non-recyclable,Unsorted
2024-02-13,12:30,par6,paper,Paper,Recyclable,Sorted
2024-05-16,12:44,par6,clear water bottle,Plastic,Recyclable,Sorted
2024-05-30,13:40,vending machine,carton,Paper,Recyclable,Unsorted
2024-01-31,10:43,par13,paper cup,Paper,Recyclable,Unsorted
2024-01-02,09:34,vending machine,banana peel,Organic,bio-degradable,Sorted
2024-01-12,11:58,par6,drink can,Metal,Recyclable,Sorted
2024-02-02,12:01,par13,carton,Paper,Recyclable,Unsorted
2024-06-11,18:04,par14,plastic film,Plastic,non-recyclable,Sorted
2024-06-05,11:45,lobby,drink can,Metal,Recyclable,Sorted
2024-03-01,12:19,par14,coffee cup,Paper,Recyclable,Sorted
2024-01-16,13:41,par14,plastic film,Plastic,non-recyclable,Unsorted
2024-05-22,13:34,vending machine,plastic film,Plastic,non-recyclable,Sorted
2024-03-22,12:57,vending machine,plastic film,Plastic,non-recyclable,Unsorted
2024-06-04,17:40,par13,paper cup,Paper,Recyclable,Unsorted
2024-06-14,18:21,par6,paper cup,Paper,Recyclable,Unsorted
2024-05-09,12:07,lobby,drink can,Metal,Recyclable,Sorted
2024-03-25,11:56,par6,cardboard,Paper,Recyclable,Unsorted
2024-05-09,13:15,par14,cardboard,Paper,Recyclable,Sorted
2024-05-16,12:34,par6,banana peel,Organic,bio-degradable,Sorted
2024-02-21,11:30,par13,paper cup,Paper,Recyclable,Unsorted
2024-05-15,13:14,par14,glass bottle,Glass,Recyclable,Unsorted
2024-01-15,12:27,par14,coffee cup,Paper,Recyclable,Sorted
2024-04-15,12:59,lobby,food,Organic,bio-degradable,Unsorted
2024-05-22,12:56,par13,paper cup,Paper,Recyclable,Unsorted
2024-01-01,14:45,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-22,16:00,lobby,paper,Paper,Recyclable,Sorted
2024-05-21,13:10,par14,paper cup,Paper,Recyclable,Unsorted
2024-02-20,13:10,par13,drink can,Metal,Recyclable,Unsorted
2024-02-26,12:06,lobby,glass bottle,Glass,Recyclable,Unsorted
2024-02-07,12:41,lobby,plastic film,Plastic,non-recyclable,Unsorted
2024-05-03,11:25,par14,carton,Paper,Recyclable,Unsorted
2024-02-29,18:00,lobby,clear water bottle,Plastic,Recyclable,Sorted
2024-02-06,13:00,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-04-19,13:29,lobby,glass bottle,Glass,Recyclable,Unsorted
2024-04-03,11:40,lobby,carton,Paper,Recyclable,Unsorted
2024-03-25,12:36,par13,paper cup,Paper,Recyclable,Unsorted
2024-04-18,12:09,par6,banana peel,Organic,bio-degradable,Sorted
2024-01-12,14:33,par14,cardboard,Paper,Recyclable,Sorted
2024-05-16,13:00,par6,banana peel,Organic,bio-degradable,Sorted
2024-04-22,11:31,par6,paper,Paper,Recyclable,Unsorted
2024-04-30,13:51,par13,paper cup,Paper,Recyclable,Unsorted
2024-05-02,12:06,par6,clear water bottle,Plastic,Recyclable,Sorted
2024-01-19,12:55,lobby,carton,Paper,Recyclable,Unsorted
2024-04-15,12:16,par14,paper cup,Paper,Recyclable,Unsorted
2024-01-04,18:41,lobby,wrapper,Plastic,non-recyclable,Sorted
2024-06-14,11:23,par14,food,Organic,bio-degradable,Unsorted
2024-01-19,12:09,par14,wrapper,Plastic,non-recyclable,Sorted
2024-01-18,14:52,lobby,glass bottle,Glass,Recyclable,Sorted
2024-05-06,17:48,lobby,food,Organic,bio-degradable,Unsorted
2024-04-12,11:55,par13,carton,Paper,Recyclable,Unsorted
2024-02-29,12:16,vending machine,banana peel,Organic,bio-degradable,Unsorted
2024-03-27,10:30,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-14,12:07,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-01-04,12:56,par6,paper cup,Paper,Recyclable,Unsorted
2024-01-30,12:46,lobby,coffee cup,Paper,Recyclable,Unsorted
2024-04-12,13:30,par14,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-03,12:28,par13,wrapper,Plastic,non-recyclable,Unsorted
2024-01-31,11:44,par6,food,Organic,bio-degradable,Unsorted
2024-01-02,15:34,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-23,12:12,par14,clear water bottle,Plastic,Recyclable,Sorted
2024-01-15,13:22,par6,banana peel,Organic,bio-degradable,Sorted
2024-01-26,12:43,par6,cardboard,Paper,Recyclable,Unsorted
2024-05-27,11:36,par13,paper cup,Paper,Recyclable,Unsorted
2024-04-18,13:22,par6,coffee cup,Paper,Recyclable,Sorted
2024-02-16,12:46,lobby,coffee cup,Paper,Recyclable,Unsorted
2024-04-01,12:59,par6,paper cup,Paper,Recyclable,Sorted
2024-01-12,13:06,par14,paper,Paper,Recyclable,Unsorted
2024-04-16,13:25,lobby,plastic film,Plastic,non-recyclable,Unsorted
2024-04-01,11:23,par13,paper cup,Paper,Recyclable,Sorted
2024-04-09,18:19,par6,coffee cup,Paper,Recyclable,Sorted
2024-03-21,15:55,par13,drink can,Metal,Recyclable,Unsorted
2024-05-16,15:31,par14,cardboard,Paper,Recyclable,Sorted
2024-01-15,12:33,par6,coffee cup,Paper,Recyclable,Unsorted
2024-01-03,12:22,lobby,cardboard,Paper,Recyclable,Sorted
2024-05-21,12:20,par13,paper cup,Paper,Recyclable,Unsorted
2024-05-30,12:37,lobby,drink can,Metal,Recyclable,Unsorted
2024-06-12,13:46,par14,plastic film,Plastic,non-recyclable,Sorted
2024-01-24,17:38,par13,paper cup,Paper,Recyclable,Unsorted
2024-01-12,12:40,par13,food,Organic,bio-degradable,Unsorted
2024-03-19,15:25,par14,paper,Paper,Recyclable,Sorted
2024-01-29,11:54,par14,drink can,Metal,Recyclable,Unsorted
2024-01-19,13:16,par6,coffee cup,Paper,Recyclable,Sorted
2024-02-15,12:53,par6,drink can,Metal,Recyclable,Sorted
2024-05-20,15:35,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-08,12:54,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-02-20,11:20,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-05-29,15:41,par14,carton,Paper,Recyclable,Sorted
2024-03-21,13:38,par13,wrapper,Plastic,non-recyclable,Unsorted
2024-04-10,15:45,par13,coffee cup,Paper,Recyclable,Unsorted
2024-01-12,13:21,par13,drink can,Metal,Recyclable,Unsorted
2024-04-22,17:27,par13,paper cup,Paper,Recyclable,Unsorted
2024-06-12,12:35,par13,plastic film,Plastic,non-recyclable,Sorted
2024-04-23,13:32,lobby,cardboard,Paper,Recyclable,Sorted
2024-02-02,16:10,vending machine,drink can,Metal,Recyclable,Unsorted
2024-05-17,18:15,par13,wrapper,Plastic,non-recyclable,Unsorted
2024-05-03,11:42,par14,drink can,Metal,Recyclable,Unsorted
2024-05-22,12:07,par6,carton,Paper,Recyclable,Sorted
2024-01-31,12:46,lobby,food,Organic,bio-degradable,Sorted
2024-01-23,12:33,par6,glass bottle,Glass,Recyclable,Unsorted
2024-02-06,11:39,lobby,wrapper,Plastic,non-recyclable,Sorted
2024-03-18,09:45,par14,coffee cup,Paper,Recyclable,Sorted
2024-04-26,12:10,par6,glass bottle,Glass,Recyclable,Unsorted
2024-02-23,12:32,par6,cardboard,Paper,Recyclable,Unsorted
2024-05-22,12:54,par6,clear water bottle,Plastic,Recyclable,Sorted
2024-01-04,13:09,lobby,clear water bottle,Plastic,Recyclable,Sorted
2024-03-06,12:08,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-15,18:12,par6,glass bottle,Glass,Recyclable,Unsorted
2024-02-15,12:56,lobby,coffee cup,Paper,Recyclable,Sorted
2024-03-14,12:58,vending machine,drink can,Metal,Recyclable,Unsorted
2024-01-08,12:13,lobby,cardboard,Paper,Recyclable,Sorted
2024-05-01,12:33,par6,wrapper,Plastic,non-recyclable,Sorted
2024-04-24,13:26,lobby,paper cup,Paper,Recyclable,Sorted
2024-04-11,12:24,par6,plastic film,Plastic,non-recyclable,Unsorted
2024-02-28,12:27,par14,food,Organic,bio-degradable,Unsorted
2024-01-24,13:17,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-28,12:51,par6,wrapper,Plastic,non-recyclable,Unsorted
2024-04-17,12:01,par14,food,Organic,bio-degradable,Sorted
2024-01-24,13:03,lobby,paper,Paper,Recyclable,Sorted
2024-01-25,11:48,lobby,food,Organic,bio-degradable,Unsorted
2024-05-21,12:49,par13,glass bottle,Glass,Recyclable,Unsorted
2024-04-02,12:15,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-22,12:17,par6,banana peel,Organic,bio-degradable,Unsorted
2024-01-31,10:18,vending machine,food,Organic,bio-degradable,Sorted
2024-04-19,15:14,par14,plastic film,Plastic,non-recyclable,Sorted
2024-01-24,15:31,par6,paper,Paper,Recyclable,Sorted
2024-05-08,12:53,vending machine,cardboard,Paper,Recyclable,Unsorted
2024-05-22,12:48,par14,cardboard,Paper,Recyclable,Unsorted
2024-02-02,13:34,lobby,wrapper,Plastic,non-recyclable,Unsorted
2024-05-09,11:29,lobby,plastic film,Plastic,non-recyclable,Unsorted
2024-06-11,12:37,par6,food,Organic,bio-degradable,Sorted
2024-01-23,15:30,par6,wrapper,Plastic,non-recyclable,Sorted
2024-03-13,12:13,lobby,glass bottle,Glass,Recyclable,Unsorted
2024-03-01,12:43,vending machine,glass bottle,Glass,Recyclable,Sorted
2024-01-26,12:48,lobby,cardboard,Paper,Recyclable,Sorted
2024-02-14,12:31,lobby,cardboard,Paper,Recyclable,Sorted
2024-05-13,13:14,par13,wrapper,Plastic,non-recyclable,Unsorted
2024-01-23,13:14,vending machine,paper cup,Paper,Recyclable,Unsorted
2024-01-17,13:00,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-30,13:07,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-01-03,14:36,par14,coffee cup,Paper,Recyclable,Unsorted
2024-03-13,12:36,par14,cardboard,Paper,Recyclable,Unsorted
2024-02-09,18:17,par6,carton,Paper,Recyclable,Unsorted
2024-01-25,10:59,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-03-11,12:03,lobby,paper,Paper,Recyclable,Sorted
2024-03-14,13:10,lobby,drink can,Metal,Recyclable,Sorted
